"symbol","entrez","mapped"
"LAMC2","3918",TRUE
"CDK14","5218",TRUE
"SEC61A1","29927",TRUE
"PPP1R12A","4659",TRUE
"RASGRF1","5923",TRUE
"CAMK2B","816",TRUE
"CROCC","9696",TRUE
"POLR3E","55718",TRUE
"ATP2B4","493",TRUE
"ZC3H11A","9877",TRUE
"RIOK2","55781",TRUE
"YIPF1","54432",TRUE
"NDC1","55706",TRUE
"DGKG","1608",TRUE
"FLYWCH1","84256",TRUE
"UNKL","64718",TRUE
"TBXAS1","6916",TRUE
"PARP12","64761",TRUE
"ALDH18A1","5832",TRUE
"TARBP1","6894",TRUE
"GATB","5188",TRUE
"MXD1","4084",TRUE
"CDK17","5128",TRUE
"DNAJC25","548645",TRUE
"SLC2A3","6515",TRUE
"PSD","5662",TRUE
"CTDP1","9150",TRUE
"YBX3","8531",TRUE
"STYK1","55359",TRUE
"WNK1","65125",TRUE
"CCAR1","55749",TRUE
"OGFR","11054",TRUE
"GNA15","2769",TRUE
"PIGV","55650",TRUE
"PTPRU","10076",TRUE
"SNRNP40","9410",TRUE
"RIMBP2","23504",TRUE
"COL11A1","1301",TRUE
"QSER1","79832",TRUE
"MPC1","51660",TRUE
"ACAA1","30",TRUE
"BCAT1","586",TRUE
"HDAC7","51564",TRUE
"LZTS1","11178",TRUE
"PRDM6","93166",TRUE
"SPAG4","6676",TRUE
"NCKAP1","10787",TRUE
"MRPS35","60488",TRUE
"GUCY1B1","2983",TRUE
"SFSWAP","6433",TRUE
"TNK2","10188",TRUE
"MON2","23041",TRUE
"CDH3","1001",TRUE
"GPBP1","65056",TRUE
"DGAT2","84649",TRUE
"ZNF112","7771",TRUE
"CS","1431",TRUE
"LTK","4058",TRUE
"MRPS24","64951",TRUE
"ELMO2","63916",TRUE
"WAPL","23063",TRUE
"VMP1","81671",TRUE
"APPBP2","10513",TRUE
"POLD1","5424",TRUE
"SEZ6","124925",TRUE
"EIF4B","1975",TRUE
"SLC6A16","28968",TRUE
"BICRA","29998",TRUE
"SPHK2","56848",TRUE
"RPL18","6141",TRUE
"CA11","770",TRUE
"ISOC2","79763",TRUE
"U2AF2","11338",TRUE
"EPN1","29924",TRUE
"MED29","55588",TRUE
"AHRR","57491",TRUE
