,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
TCGA-E2-A1IU-01,192.50755667479106,397.61976306061956,80.44025322106228,9.602454878465977,126.82168559005689,-68.95039520053345,-29.797372235650265,65.1264990630674
TCGA-BH-A0E2-01,223.78065247587702,393.9821736255734,73.5850007094117,15.98073485447614,119.24374211731812,-59.32144552297053,-15.20204899973433,73.68706806519563
TCGA-A2-A0CZ-01,232.16827816028686,379.72368286907465,70.26874732970882,33.409880864746896,131.00003418814214,-62.88575944187081,-32.79217244041245,80.53896787425762
TCGA-AR-A2LE-01,206.3215110594925,389.93033419446635,72.75291392669752,8.886811740674055,111.61654323138629,-63.485205522894326,-23.97427162421112,55.301571707878566
TCGA-A8-A0A1-01,213.215039913909,389.334251365372,71.57527351497188,13.786131160519595,127.5327181804574,-60.16113677674807,-26.763182165887738,61.82765033975974
TCGA-E2-A1L7-01,223.58014273687692,402.5782659309797,62.8128028603237,35.08644658160685,108.58369011088351,-71.05648355617444,-9.971496415056421,73.7652578179119
TCGA-E2-A14T-01,198.36642096576165,402.9038854640521,62.82571669342545,20.984362270920354,109.68896972989019,-58.18070447103211,-5.370078486680167,73.48708065893106
TCGA-AC-A5EH-01,216.30197165525377,385.3795649348274,78.79869978360833,20.607869838607165,102.84775954272628,-46.16008313761717,-33.46796616327293,88.16541335991633
TCGA-GM-A2DM-01,202.9074297184654,382.31598415443693,69.42990367073469,-1.9656261274062317,114.54200964999387,-65.31347074859988,-18.076059584234816,70.19702310797163
TCGA-A2-A0D4-01,185.90854021198814,402.49748328920623,64.17537739079793,13.677177645741995,105.1895938698908,-48.347840121894684,-15.912410907797856,70.20529828953156
TCGA-BH-A0B1-01,220.05728881373355,395.0177605395746,88.28051492924735,16.72553609236139,120.00483497437709,-61.16437231714885,-33.74543716630894,58.38875949467911
TCGA-AO-A12F-01,250.6426012818766,372.628947353487,64.47716437816376,54.308380648824546,75.76536626083102,-63.48084800108588,-33.20302606392563,89.54948658008223
TCGA-AC-A3HN-01,224.98518036554773,394.51677530496397,69.63201496676322,37.7201606527831,135.6140548146959,-59.45466499263585,-30.899821465101088,74.83514991175213
TCGA-C8-A1HN-01,202.1977826759382,403.95757474438267,57.47661295944886,2.388217112494928,95.3694381743071,-53.45560631492736,-16.081656133747945,70.27732369546385
TCGA-A2-A25C-01,215.20511746378773,400.30375552126714,79.00014435049056,9.34789324134578,120.38054204019413,-62.22961343487054,-16.750166877672314,50.89698501739355
TCGA-E9-A6HE-01,200.440631556618,387.90419192033664,63.01773881108306,32.89958811299955,122.96006594499882,-56.68737495221141,-24.502730001809766,106.55709637328795
TCGA-EW-A6SB-01,231.99030075899705,358.43703734334736,88.77697150378737,62.05765747330324,59.69994590290716,-71.4587309925526,-37.01209997529673,101.37077428750479
TCGA-E9-A1N4-01,234.34620617017785,382.22321366711856,71.34155499113135,2.1235608048808245,112.51573668460065,-61.381209323265175,-30.34123115201487,60.11578574708855
TCGA-B6-A0RH-01,206.90315034761235,390.7378532011779,83.51878362673122,29.57110784814725,116.53488669680016,-64.55061941498329,-41.30672060937626,98.36444020667494
TCGA-A8-A09N-01,191.51029096960426,400.2674728078173,71.89620926794277,7.037381870193606,102.39442895533801,-56.49283105730043,-38.591779459142586,64.01587603084553
TCGA-AO-A0JE-01,228.86184010981603,387.32696166122,97.89684722922087,20.513500715702452,113.12131874022765,-62.69402912783844,-42.15814269542647,78.1074805642771
TCGA-E2-A106-01,179.3729241086855,399.4493197541999,68.22624314001143,11.551180105231225,121.11673204355749,-58.79919081586045,-9.104379575427611,71.9911737973315
TCGA-E2-A14S-01,196.4589823832712,403.1514134121999,52.71004482708372,14.32267078091175,107.52371854493518,-61.57152960298834,-14.663111882357295,73.35646267985246
TCGA-AC-A3TM-01,183.02098132311696,392.1501414760804,63.22051460140986,51.63003877211433,132.15231896170644,-53.63562725154612,-12.373724355176616,117.95050799251138
TCGA-AQ-A1H3-01,220.6931739541794,398.3817879257059,72.59185648635119,18.44056058691118,124.76917716920165,-71.50368127451873,-25.394704922929396,61.04722004041528
TCGA-E2-A15R-01,190.62555221282307,408.30740500080674,34.513364399169006,12.528045627508401,105.01423560758896,-60.29382794591162,-4.159483248703711,58.06510148887719
TCGA-A8-A06R-01,223.87756164321664,382.3645956048848,67.19994129221314,17.69429919233714,105.73631476028011,-51.86839317254256,-25.835225516023943,76.16956476471873
TCGA-E9-A295-01,207.48294493876543,394.6911727427198,73.164922638962,28.01341048564097,126.85253813317468,-59.726624670491624,-23.149060826944616,79.57388041690004
TCGA-AC-A62X-01,222.55939912451836,369.29838642733716,91.73266649530152,70.50000643860454,74.40650845887751,-79.83549166736762,-53.24939470112247,89.44106723857422
TCGA-BH-A18N-01,198.94404841948491,394.2527740594977,56.67532427763035,8.168125832628341,125.79776994284457,-56.00866799989077,-12.819394168848703,64.40630475729108
TCGA-BH-A1FL-01,198.32314293745983,404.11019951339506,56.92434582507542,21.037027845500443,112.86293853546134,-62.269767558069226,-24.288756213001655,64.1175638439415
TCGA-D8-A1XD-01,218.61408211651352,399.7590662932282,46.81182105270857,22.41170888459875,116.714049091668,-51.56811356148655,-11.220329830324989,52.967446605799466
TCGA-AC-A2FB-01,219.5955386398787,393.15643523767676,89.7719914792547,25.18661494504421,124.91934753792687,-70.64012749791482,-29.143162039486377,59.4066370516058
TCGA-BH-A0DQ-01,223.41295629717357,394.5962719638894,71.73878731312954,21.69206613060144,134.99884688337102,-56.34552336151375,-25.385723462017022,71.94671724128756
TCGA-AC-A3W5-01,217.1244006327436,392.19668898074565,79.10166953737615,44.00524320818985,114.6462007517758,-51.064474683731355,-44.83925661880226,92.1880409245212
TCGA-D8-A1JP-01,228.30635738961738,396.5539341799971,67.74755761042553,28.894388953652662,115.36580838821932,-70.240464066481,-28.58967881674713,73.48669381608755
TCGA-BH-A0HW-01,185.58555704268642,405.7991061559145,46.44535968521528,6.888861291640815,107.2438462068332,-51.17837495366508,-3.788111778241629,70.18200208095178
TCGA-BH-A0BW-01,260.6820904440134,371.9584567131967,110.55205785955482,46.614377005100515,86.50361510782774,-67.93106999011633,-38.15854158124377,44.50355145713269
TCGA-LL-A6FP-01,133.88354238208368,389.3272374822293,53.13693164412442,5.740159797585747,104.37702057772921,-52.93265116276071,-22.2522797723677,106.02739311415365
TCGA-A8-A0A4-01,214.00920136094285,405.4770027058863,65.40642220379607,32.620475195543065,128.7718330880982,-65.02863377199807,-31.942065311861363,72.59470185120273
TCGA-AC-A6IW-01,245.3894481064469,369.68258259336494,81.7604828735621,68.7654837788259,62.900744235728666,-69.68888646892313,-32.66623996550679,96.36813869761394
TCGA-XX-A899-01,225.44943470966072,392.8086076766564,71.04523122830852,40.93010410905233,134.22645095939396,-58.62115618381133,-24.737972824336023,77.03349899639335
TCGA-A2-A25A-01,240.0439381317473,389.2270630882108,77.35962809487015,33.09245981876726,129.94617546128887,-73.01181849811525,-28.7546076323784,65.40387312948775
TCGA-E9-A1R5-01,204.03274688442283,393.3046673741686,62.82319299040134,3.615435975966861,117.49294306555628,-56.604110793843155,-27.242901873681987,62.56755140929474
TCGA-5T-A9QA-01,156.6450057832748,396.92777294535745,59.33463674014271,10.972682478511025,91.95480480556246,-45.64759379837593,-8.046936511633362,90.79326159328491
TCGA-GM-A3NW-01,190.48723729671806,398.19117858177356,63.651213045884106,21.122997127854173,124.29080340947102,-61.25877901786058,-24.78833531110248,84.66717990136812
TCGA-D8-A1JS-01,147.2989388244978,386.69748658861556,64.10462145965113,-8.430767334147056,108.96046683779717,-64.37050089344555,-29.296058038739446,92.21749671292179
TCGA-AR-A1AJ-01,258.7940777587005,372.316906776152,88.84454264788533,57.917056699351676,85.6810489722591,-69.07362012960522,-37.845311777306534,65.38422505214169
TCGA-AN-A0AK-01,182.09153656411675,396.6293379717373,56.04597789152538,-2.9250281353418828,74.32945151368855,-45.32723909836208,-19.10719331533672,70.7358357991647
TCGA-D8-A73W-01,210.9550624493481,388.0174507894169,74.77754546608975,20.335908291567918,130.33092697606924,-53.544489065676935,-33.433804492188386,70.50800780612556
TCGA-BH-A0BZ-01,217.51847289712717,390.9032910740791,75.02586454727069,26.013744407252,104.06592730484051,-41.948388227517874,-23.415321352797672,76.08079624076626
TCGA-A2-A0EU-01,207.89101804984293,394.2910635886126,81.73051376255358,10.070228359572702,121.56844274056354,-56.601428456205234,-17.76667339374285,65.77491402338177
TCGA-B6-A401-01,206.97978731698012,395.89693939849803,77.71852294441177,56.770245384446916,129.62340494797147,-52.228509577583274,-19.513509287477028,98.61740369255861
TCGA-AC-A7VC-01,278.1288099892945,353.07589707801253,15.232403836754855,35.79165071045732,98.70272181825497,-38.99014900376853,-32.8809537890062,105.23152765533283
TCGA-AR-A24P-01,227.73015245819462,398.0254652469048,78.63377179302506,16.234835967416707,119.4257994794635,-69.27407872424641,-24.209709579857705,54.714718411160135
TCGA-S3-AA0Z-01,249.4809086512105,381.15137535808947,79.10430039238733,70.58049490756291,86.84600600964812,-72.37375853288862,-35.333775264001446,69.29174155531598
TCGA-LL-A50Y-01,164.64700635064636,384.1498757356562,60.9391444967645,26.45049920751517,121.92386617789695,-52.991810403553266,-18.543271552722363,104.62080813000077
TCGA-OL-A5D8-01,184.10330672465048,406.29902997197803,53.43950860957807,38.725980540826995,125.72553943307835,-60.53923124824693,-9.800869062197574,81.01431151463004
TCGA-A8-A08S-01,197.38252751305387,403.05008164858737,77.52879631756153,11.425711058115198,119.73686948128064,-56.67930315558727,-25.015074913637555,66.12790828555288
TCGA-A8-A09K-01,173.88181915913597,402.2232141815716,47.62052323023836,12.12871208766314,94.2942131500737,-55.213203423613216,-6.571425774296538,55.28340669027338
TCGA-BH-A0DI-01,234.4346909064623,384.95381271061353,75.01035015001281,27.65779647030468,130.64808120945756,-63.25155993760804,-38.62736265184414,73.15275210936659
TCGA-A2-A0T6-01,232.8176907436763,386.31108653908177,62.97747784725456,17.513633151922374,125.0353904435766,-58.59755930772395,-33.23264534161562,58.15616849257901
TCGA-A2-A25B-01,218.50838221903174,395.0923653955439,68.21913751693145,-8.162161864051576,94.45701677809117,-55.46488012320018,-21.332868537277466,45.90950492894325
TCGA-A2-A0SV-01,214.97100076195974,393.119143624176,73.45247649571425,23.531850845549066,104.55396464673433,-46.196454094714234,-31.76682976433905,85.52537100117894
TCGA-BH-A18G-01,228.91096342961137,356.52656602824106,88.31586631663137,40.82529455528585,70.75129335344451,-72.41948018471842,-45.07683819501671,90.56594810291824
TCGA-AN-A0XR-01,185.6282103370805,398.8635646856758,65.80383829468386,13.151388945530048,120.62791572866624,-58.99799267955061,-22.85218360624106,77.7202158379061
TCGA-A8-A0AB-01,194.7919340701629,406.1640785061187,60.92912620632734,9.95777515851826,106.44371717394615,-67.131614305212,-27.347648605584837,54.06717250960122
TCGA-AO-A1KO-01,232.7027945819061,375.9690770106423,83.86895439995212,27.2343015300964,112.06299275991992,-86.95373487184017,-41.97852373965518,51.97605966831591
TCGA-A2-A0CU-01,203.45564701902586,405.7554648661869,59.18454463499856,23.871872354774304,124.57276455639462,-48.98404375188611,-13.360485806646032,68.24534813710392
TCGA-A2-A1FZ-01,219.77170319713227,391.6787640269458,76.54271478304676,24.51797162759761,127.88131795284232,-63.4776330889677,-29.435790533902775,57.363973253072174
TCGA-BH-A1FC-01,253.0618149548046,373.3579473514063,66.05466412916005,56.744635238680665,52.53584111124101,-76.49644230015753,-31.37611043043615,72.33525808117179
TCGA-E2-A14W-01,190.55896140677484,394.87730303760554,59.31584207028567,0.9209180921451221,99.40174549011564,-63.85794698430198,-24.435803822551684,75.88737236605317
TCGA-LL-A441-01,244.55021583194562,387.98059788584385,69.4567471090121,73.52619850347739,105.42976906714068,-68.3475482831247,-30.17041943315518,81.80045550054666
TCGA-PL-A8LX-01,188.68713916750383,387.63495191693096,43.14716516357154,16.432207000001302,117.08492696931374,-51.578261955768234,-7.330767196379283,90.55809656627324
TCGA-XX-A89A-01,232.17349334130276,386.00442951369416,72.335057775943,41.35940031560922,131.72749964657424,-56.016476336183864,-35.68433392652611,79.83845989656783
TCGA-BH-A8FZ-01,223.21216433996094,392.93092287030504,84.99971486947274,42.5513142690225,126.22215295907603,-60.58438433037394,-31.404298072343643,78.99858977212065
TCGA-E9-A5UO-01,171.690531337801,394.317832555544,50.2106955000354,1.0222478080768767,103.7086373688252,-50.58577620757007,-5.813922284826767,69.61856748492337
TCGA-E2-A573-01,245.74655309928207,373.42416207453607,99.56077169806898,76.55841667578864,82.01016726937812,-68.59173823688764,-35.91770652159253,90.00588842231446
TCGA-D8-A146-01,219.54344466190506,394.74200904673796,72.90053967267806,21.88009567960875,134.8097299533651,-66.64732566848588,-32.09955646670949,61.2981435388692
TCGA-AO-A124-01,245.384979796012,377.4288534815537,96.53918466717187,66.20565429686637,66.65981452767663,-81.64646092815906,-47.7208036551277,67.26507862535328
TCGA-AR-A24Z-01,206.30917492314606,407.6277212188214,72.05758111532387,6.99930297025152,109.95415851521591,-72.59286147749685,-25.028359860315593,53.259613057386815
TCGA-A8-A075-01,205.89447557184317,403.6216839154707,77.14225521354601,17.599029130501165,109.79372810415391,-45.99661523205575,-29.61352094471731,71.0556957576525
TCGA-A8-A08A-01,194.32317480159261,397.2722620675519,62.13248183964791,16.81860313449983,120.66347623368817,-59.98968087808286,-21.672652076574337,80.6820226693664
TCGA-AQ-A0Y5-01,214.33431451517046,389.86728751032706,80.51882678148138,-0.42823846360295903,114.4418657026402,-49.6719672308978,-31.533906431437593,65.70241751796019
TCGA-B6-A0I9-01,200.27010598802102,400.70052934761225,81.80273194632102,13.902801491371381,94.05711991225417,-49.30322635562941,-27.2758731543317,63.73505953723827
TCGA-BH-A28O-01,227.3929988736526,385.4743126216738,71.51874802611033,56.390807072281824,134.4934343378611,-66.7774162511304,-34.87536379336521,82.32750143758363
TCGA-AR-A0TX-01,210.39006772829802,398.6664741942841,76.04211769101363,23.34891159059962,99.08330703845733,-57.98160323798081,-41.08226013186074,70.23151098935045
TCGA-D8-A3Z6-01,191.98303478327242,397.48999424571264,72.99771682935568,34.20273662813,133.43972604079943,-60.56450330789274,-31.036433969270945,80.92429374202331
TCGA-A8-A093-01,196.4992157287932,398.2676380505179,54.02439331517121,13.913586705624105,122.17434974008383,-58.66276705141713,-28.32314208388165,64.75128990797955
TCGA-A8-A07C-01,259.28942793611975,374.7467903441311,63.33418607592992,34.87443896635252,54.48981506014036,-80.54340690665109,-33.67796940945213,48.94936618641037
TCGA-A8-A099-01,184.98783469300545,394.4749455145418,67.6093575855349,-1.9068972558057595,117.51869348541418,-62.36925375310556,-32.910298648203266,55.16040022230456
TCGA-BH-A201-01,233.03994385733293,393.23260032009796,87.02008629095187,21.778926688892945,127.4727375469511,-69.4991182716114,-32.50983072004275,62.40695532699689
TCGA-AO-A0J3-01,177.61538095223202,399.18327956138,35.520829765221194,0.7202817532683028,98.88099305159676,-60.91711328618869,-2.8177216821915474,71.59178954829599
TCGA-AR-A24H-01,200.964701354138,408.27392975794567,62.884754513192235,9.410257100156848,92.43586044488495,-57.84062515117591,-14.212223175092888,57.352786819764646
