,arc1,arc2,arc3,arc4
CD4,0.25749323981184047,0.021863416954549908,0.32917394154430113,0.326940742946898
LRRC23,3.142012740974214,2.2241606748622713,3.2950899716110973,3.0020183327641425
BTK,0.23980490717592956,-0.17780021666661788,0.2362323327568535,0.19956249012607002
HFE,3.1444938960255246,0.3363257354150333,2.815815400481459,3.555015550445309
SCMH1,4.728514910633442,1.9488078903517856,4.471168312746081,4.002368766682746
FYN,5.779669752976355,1.748527056681462,1.422560714450431,3.4576433779907974
HIVEP2,2.9405601372278083,0.8039950888059446,2.2627029082456613,2.9763323363082033
LYPLA2,5.475689951840838,3.375636740953565,6.099252110577288,6.35409424765808
CLCN6,3.4126869012327896,0.8448485830203942,2.8966170483715987,2.547189811660787
MRC2,5.368198620221292,2.015214215695654,1.0910920966280198,2.083392894955737
TSPAN9,3.655866501765706,-0.9022474748660976,5.268547644262613,4.297034711443401
BTBD7,3.5139078366144103,0.9820923875697276,3.733949128069137,3.8170388543517295
APBA3,4.104999408693377,1.4286724103167852,3.6177228254782565,3.3575025546584003
MKS1,3.5747853584277243,1.0813096450253985,4.3170284242115216,3.3692711097890475
ABHD5,3.5747669327378575,2.824551317158341,4.62560439730042,4.431445695984871
AKAP8L,5.502720625382852,3.569151881840175,5.656561407227104,5.30655239405036
MBTD1,3.2849246706592146,0.983615229475026,3.9010102061947367,3.285694331610862
UTP18,5.76597010055173,2.5070630514331502,5.4943534884906375,5.298585129628883
RNF216,4.298093419583387,1.181599572236855,3.872104280773157,4.013846138601011
TTC19,5.018572239150688,2.747579732184659,5.0853168497037196,5.353484883060246
PTBP1,7.823789862953143,4.054627218482938,7.9370448055414045,7.859220778718346
DPF1,2.384435917297335,-0.8887041652232257,1.8145779814451735,0.9722462803104734
SYT7,1.2689803818782055,0.5717169144161964,5.290277613551088,3.7375137662671634
LARS2,3.629754434777363,0.7234587098223586,3.4838256439543978,3.108466301473139
PIK3C2A,4.265137028006103,0.6353917703714216,4.002017022012849,4.22274037000146
PLAUR,5.156955031772461,3.6172166068616436,1.7050243660424815,5.695192544447714
ANLN,6.740063028670329,1.3304080595699306,5.610619176369933,7.379411851890589
WIZ,4.535670988339831,1.372936703571979,4.269068390671009,4.167416583878525
RABGAP1,4.5522436910350565,1.328399313290645,5.064427508283305,5.022294911190043
DCN,2.776387088655769,2.513614626068661,-0.2543527048549147,-0.0005258330224149343
QPCTL,3.641034493734764,3.230041814897598,3.179505953377393,3.3364804558967895
PPP5C,5.947898554266588,2.8118660048679653,6.562692990351147,6.044249160164251
CEP68,2.9677291567818025,0.5222565358011411,2.426970009563198,2.1865574782287784
MAP4K3,4.047632079113123,1.6563480220449125,4.523281563756084,4.464759866105166
ZBTB32,0.34726815812893863,-0.27356848061741806,0.6667610706894567,0.2091413883422217
