,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-AC-A3BB-01,435.53035393902417,702.0746967021408,428.34905485252864,416.4210947086997,4
TCGA-AN-A049-01,443.5054333608364,708.6352265236716,434.7457752133191,421.96000894231037,4
TCGA-A8-A06Z-01,435.9371225637104,696.8934989106897,415.10729487635956,413.43106522100163,4
TCGA-C8-A1HI-01,446.80831629098975,709.223295932998,434.1255138056704,421.66795948406786,4
TCGA-BH-A0HL-01,434.1427427635002,700.9605287711025,418.49330369362053,422.8170932173173,3
TCGA-A1-A0SF-01,442.3074102528872,706.2824367579929,429.1008038961586,420.80010053247844,4
TCGA-AR-A2LR-01,448.5806287746001,724.4685793338107,461.4563790189567,441.76512256514997,4
TCGA-E9-A1RF-01,442.0678134761003,708.5349635991125,435.6144056118064,422.2200421817589,4
TCGA-B6-A0RT-01,441.3631933008748,710.8936206210184,446.8784819646038,423.744437615474,4
TCGA-E9-A1RI-01,441.73357059661294,709.7910250212476,438.1576687668706,423.9058436506582,4
TCGA-BH-A0DL-01,439.71178441531276,699.279296612746,439.54445122687275,407.2537243717612,4
TCGA-AR-A251-01,450.5410839801906,720.1683832598482,457.6042694875748,432.63775416030427,4
TCGA-AC-A3TN-01,423.3795227049552,684.0274237683798,402.5371067760666,400.7109300516778,4
TCGA-AC-A2QI-01,433.1946209088287,699.774734060811,425.16295010954866,414.69871137910457,4
TCGA-B6-A0X4-01,426.5679350530855,689.7528790223524,410.0729223111544,406.2346814684641,4
TCGA-E2-A1B5-01,430.05321131959226,696.0557057154082,425.69105075489534,408.8467932898922,4
TCGA-A2-A0YH-01,446.0793948622938,710.4985200567302,435.7348901157008,423.77969433135854,4
TCGA-A8-A06T-01,437.9278591548934,703.2291758148916,424.68573544426283,419.66862332832784,4
TCGA-E9-A22H-01,450.29639054875696,713.3646821921354,435.3598941530775,427.617572721067,4
TCGA-BH-A0DE-01,437.2469950419485,703.7805357707379,432.45767312615584,416.9940197287468,4
TCGA-OL-A5RW-01,430.2795736964697,694.252509491894,428.7101449437187,404.73692120313086,4
TCGA-A8-A090-01,438.3078219813258,704.6311465162361,430.70257704606,418.8419349832142,4
TCGA-AO-A03O-01,438.8625450971547,702.7634010106167,424.7102208824481,417.9381779510548,4
TCGA-BH-A18S-01,432.0838049299153,692.8474484840908,412.1686267397967,408.52602561123115,4
TCGA-A2-A3KD-01,447.64842337038345,711.1046997001596,434.2583401853122,424.94936557306573,4
TCGA-E2-A56Z-01,429.7373541312233,694.0552168073916,413.456448050498,411.9199394979302,4
TCGA-BH-A0GY-01,447.8990618519577,710.5040605288752,439.2946947352968,421.4301737442345,4
TCGA-AC-A2FF-01,443.95397307764176,713.0819788864453,444.13786133466874,426.8140532862232,4
TCGA-BH-A0H3-01,442.53532663290997,710.8985415830235,440.6033598953511,424.6539543062842,4
