,PC1,PC2,PC3
PT058_P1_F09,0.6917119087459733,4.6552098586325155,-6.871086793298419
PT058_P1_G08,3.5988898842830856,2.862999746204832,-1.0244095361505399
PT058_P1_H07,1.3919860676137765,-3.6553461295236533,7.0875263104962585
PT058_P1_H08,2.476945883035722,4.343592666576634,-3.3853110750559012
PT081_P1_A01,-5.479684220990687,2.6860646168270166,-10.26785257452838
PT081_P1_A02,-4.099811513263715,2.0363715515628855,-2.302353423601172
PT081_P1_A05,-5.140958476834015,1.5986447691917198,-6.426998639570472
PT081_P1_A08,-4.667911292784219,1.790554898905586,-5.770945320417735
PT081_P1_A09,-4.427998031245151,0.5097164118081311,-3.3548444901525816
PT081_P1_A10,-4.80893912271752,0.8983375956722018,-4.479895867063733
PT081_P1_A12,-4.829439276937542,1.891521330680054,-7.061391701420713
PT081_P1_B01,-3.051655311551375,-0.33589300347207707,-6.290651362775825
PT081_P1_B02,-4.9159935659343645,3.0330947036421114,-6.565758113195767
PT081_P1_B03,-5.252798893778693,2.1836564204822135,-8.513848668324789
PT081_P1_B04,-5.256769104999863,2.656875658689424,-10.437656453422617
PT081_P1_B06,-4.099537688073228,1.4715811602761601,-8.615345151633198
PT081_P1_B07,-0.48593184044729065,-3.090510977110952,4.374497139879066
PT081_P1_B08,-3.789391345178279,-0.08212295921282835,-2.083256386583442
PT081_P1_B10,-0.3975420010207419,1.747265413572829,-3.5602226844009355
PT081_P1_B11,-4.556966579764438,1.987090682851265,-5.869351515599458
PT081_P1_B12,-4.407610285845418,1.1289358133892446,-9.208453355451248
PT081_P1_C02,-3.5355198234476988,1.7840768176017079,-5.9725808160962846
PT081_P1_C03,-4.469066871727011,2.133926559429967,-8.973624456245052
PT081_P1_C04,5.016972005678846,-12.313460106089506,12.728773525377148
PT081_P1_C06,-3.7535230710288214,1.2151167241748195,-7.703347596250899
PT081_P1_C08,-1.456114294787458,-2.8396012497451,5.362981835487982
PT081_P1_C09,-2.923125592807308,-0.08073135154789413,-7.098163061506161
PT081_P1_C12,-1.9452085894930522,-3.4853033246464684,0.39233140538494915
PT081_P1_D01,-4.748913836146491,-0.33700607374921976,-5.587859554169678
PT081_P1_D02,-3.7565480851345234,2.2968494011990286,-7.756361095687612
PT081_P1_D04,-5.927890727799491,2.263301864406533,-7.829364531173511
PT081_P1_D06,-2.316907930116336,0.874445422004478,-5.232302762587087
PT081_P1_D08,-2.7177134788443054,-2.8650232845419707,-0.002958679694281513
PT081_P1_D09,-1.5595269208546059,-2.6524740536541165,-0.6981845870829781
PT081_P1_D10,-2.040832816518035,-1.8280541196345228,0.1868680899882858
PT081_P1_D12,-0.3779063719290843,-4.838258153225221,-0.1533982444711538
PT081_P1_E01,-4.25512711648131,1.2152439225971836,-6.7721008137893435
PT081_P1_E02,-1.9437933239206715,-2.159056889797789,-0.548242031186967
PT081_P1_E03,-2.2547785324245306,-0.9104759099680616,-0.1765368379994595
PT081_P1_E05,-2.3382971948429336,-0.4554183058190663,-2.509884507156958
PT081_P1_E06,-3.8922040268074545,-0.1747902557606275,-2.766152275245948
PT081_P1_E07,-2.8644304738117463,-2.1568899445918936,-0.7215520617545993
PT081_P1_E10,-3.036898230002815,0.5351904199401541,-2.9214241848884672
PT081_P1_F01,-4.7613106533711305,1.2092020888444905,-7.631204530246703
PT081_P1_F03,-1.375285340544455,0.5887568327158782,0.27388861085528915
PT081_P1_F04,-5.515310382187515,0.0869700277187993,-6.200886386609459
PT081_P1_F05,-0.37597314196046694,-2.348668235879275,2.8317082190483935
PT081_P1_F06,-1.380885161936605,-0.05566180900690272,-0.403598359873868
PT081_P1_F07,-0.41443363256316285,-4.918369279904283,-0.6044015475612554
PT081_P1_F08,-2.78436576104975,-1.2988557534592275,-0.08942006934079684
PT081_P1_F11,-4.677143260567959,-0.9768390331546271,-3.4853385086245083
