,arc1,arc2,arc3,arc4,arc5,arc6,arc7
TMEM132A,5.140853750084979,4.715342506894642,5.757431946262715,5.651581746964132,5.834170593523017,5.530980553137614,5.236143912529572
AP2B1,6.694553964727684,5.796146666487085,7.067646474689984,6.682620962334693,6.593675144584201,6.137162084991114,6.636146410824809
TAC1,-0.04257236622200854,-0.00449573916231788,0.042469289478070514,0.15799449354098472,0.08688361065912936,0.11342065785241372,-0.19731111404855106
ZNF263,4.513900752466412,4.249006768538237,4.949453494596201,5.013163295141393,4.886791075745653,4.170196363316859,4.3560541972791516
CX3CL1,0.4217002685903375,1.5972056257913398,6.146328171845866,1.1447077915517632,2.425411943627893,-0.29882212992122015,2.5174605149577114
SPATA20,5.462498242779261,5.353059477327227,5.632937848888041,5.419090623509419,6.182121532567451,4.879572734077632,5.3571547717748595
CACNA1G,0.5078214134584388,0.6798480945304187,0.2602121799959642,0.4889020354162206,1.8805345005011003,-0.40821494877710096,0.3686286752953584
TNFRSF12A,8.989148638244135,8.360896354372091,8.033836455553224,8.443074787923075,7.6330100627288795,8.098120044179211,8.76351139785402
DLX6,0.4497004279735803,0.43381930175736816,1.4997479839078403,0.2217928637973996,1.013647716330063,-0.4321913115286514,2.201229983789408
MAP3K9,2.1201890203395752,0.525276518802497,1.8774827648493158,2.4469923934570974,1.1472300278139802,2.271911385855429,0.7907900521137475
RALA,5.5646995643104935,6.140873364829349,5.9828161766926975,5.837838911650964,5.681242785723947,5.29206902931447,4.972509992384902
BAIAP2L1,3.1290376929892005,2.240046804992656,1.5057594674761539,3.3988612783636944,2.0022366464624706,3.6419704906789043,3.481005813845745
ETV1,4.197282270188999,5.200288224304467,3.31352090365124,3.8287136821880807,4.4417663955927305,1.0425960703410597,2.6205010947948235
AGK,5.089274709384072,5.250662530584184,6.3838275325824245,4.795339423615664,5.19213765438888,4.455671222184361,5.611893044449115
