,arc1,arc2,arc3
EPN3,4.29960049345939,-0.562703657699192,6.4898071272867925
STAP2,4.870396696460177,1.9400235769718082,4.744345906958558
FOXA1,3.4913415977972457,-0.5646623157954096,7.949165727895389
PYCARD,4.140550092949734,0.6963712332660319,4.302736105330823
ZNF165,3.1600688114647566,0.853909546491834,2.482988831000249
SLC37A1,3.6429434995938657,0.36030164160596545,4.701123649070679
ANK3,4.600825934612381,0.5839113222545538,5.226295435396491
TSPAN15,5.806920349459329,1.3458642137363532,6.954699280607624
HNMT,3.432040949141,1.4019636782113039,2.997812733204091
ABCC3,5.6691879209822655,3.5157261761547796,4.109694490100248
SDC1,6.695465297585742,4.622869573671713,6.566246985131954
CKMT1A,4.788376756907238,0.5546853455100651,6.365909935758441
TOB1,5.6029619749017145,4.114662625393025,7.79577702146354
B3GNT3,5.275052836995808,-0.6749733382908905,2.059168520744156
TMC6,5.59333242544511,1.9942372677141953,5.8277918769137615
CD9,9.08089872730832,5.974206244776204,8.571466854810303
ADAP1,4.007470290654895,1.1008483370885052,3.6431712529562255
ATP1B1,7.761960020081126,4.620419023227336,5.928401251624623
SHANK2,2.479932720777005,0.42956952191229325,4.36151859330789
CYB561,6.687917563907449,3.626736487548148,7.5764986294911445
ERMP1,5.794274376416404,2.874439572739425,5.564811288561125
RAB20,4.547186901290171,1.5728184974437083,4.220441121589763
MYH14,5.0909085509788445,0.6025056713840184,4.812876740971698
CAPN1,7.855357252276033,5.787993904317872,6.403951136031235
ALDH3B2,2.682509037749762,-0.20780758453773185,6.716470315256607
TRIM31,1.9631659459748207,-0.4685303000312194,0.36103263941874
ARAP2,2.6092136890104993,0.6855217557296747,1.8596062725292561
SSH3,5.193433468993841,3.401998355982214,5.999504074152133
ICA1,4.046851283527848,1.323448570803086,5.931130822546077
ARHGEF5,3.8183556007160204,0.7895061488662574,3.6847607326014544
ALOX5,2.5621744747394506,-0.26698283352304153,0.4311016740343238
RHOD,5.235989278562527,2.046611470933671,5.786968024910188
TMPRSS2,3.492296093300993,-0.7104073981244925,3.135981004698381
MTUS1,3.585554786333528,0.6194367797023412,3.780662468712494
CYP4F3,1.7377293454271774,0.01943656394473825,0.6880509705213949
PPFIBP2,1.9109067995258928,1.5983732190040023,4.949166500994627
RABGAP1L,3.8617480422081103,2.3460995190852807,3.2153127547926528
PLXNB2,6.6687821602129995,4.210620318445068,6.787168890623464
MGST2,5.75015210487171,2.542833402113813,5.746789103932427
EVPL,3.9072448327434555,0.40865855795747974,4.329571673042371
CD46,7.767993482034364,5.959015158128622,7.670685527436911
KRT15,5.855247868868474,1.5960504899253296,4.7625355569686025
CNKSR1,4.280856726908169,1.1121201033911006,4.359768021238634
BLNK,1.348832891867887,-0.22421588810466253,3.329890134311085
COMT,7.695478584656084,6.183825477499575,8.13734603918068
ANXA4,5.8975497627522655,5.913355036542254,5.528875914780349
TNFSF13,4.4920914750362435,1.123508175274293,3.507823289302761
OCLN,4.736769527015413,1.8518478541181236,4.2911909475002465
XBP1,6.527400951623017,5.504433087349126,9.965482341755472
VIM,5.306836107697543,11.338388010404412,1.0028399314584036
ZEB1,0.3706369380244837,4.336213548161302,-0.09512743969552306
EMP3,3.7036325679808626,7.486915828218873,0.9259421551928386
SACS,1.6036554982302103,4.227417180367839,0.6885734366771898
AXL,3.9589129038055693,5.39866986423336,-0.6502608098798444
LOXL2,4.876070405270601,6.839710154792234,-0.07856173344913131
SPARC,3.8865339348240595,7.275485685068751,1.8477883343834876
FHL1,2.5459244792336633,5.51409471410919,-0.3123939878114683
FERMT2,4.61050164874942,5.469234787422595,3.2441568741929148
TUBA1A,4.422729911536805,7.812866249928918,4.74719714651305
TMEM158,1.5949548684997077,4.779106812418906,0.04755303576437697
CALD1,5.9600140783524616,7.465586392893811,0.9696257654895102
LGALS1,9.944305439199077,11.689466395630348,6.85990598424406
PMP22,2.383613352184541,6.580025507340965,1.8154917735895977
MSN,7.025816025407846,7.831599449439082,0.013042994468388969
GLYR1,4.822275883565234,5.074872547154241,5.927887657796315
MAP1B,2.307739126166499,4.595693622674833,0.1097767020279079
AP1S2,3.062481812180647,5.460645978772256,3.909562520234471
GJA1,-0.06100303770126625,5.105914778556675,0.6398785143330504
DENND5A,3.5547063590600207,5.4789357972893935,3.619878497190297
TPM2,4.678558774186802,8.477082004751896,1.552272497401093
TUBB6,6.818519372925498,8.10655747283986,4.046414934438012
SRPX,2.153024667807797,4.954432798041498,-0.2030706243284217
ANK2,0.45687058741518516,2.1286556783859267,0.047554990411426634
CHN1,2.184269464958159,5.119133786118198,2.049999574995364
SH2B3,2.106258320108733,3.334859186324647,0.7150197197335928
ETV1,1.95418238131405,2.976651209928332,0.3072015139349138
SOBP,0.2914102293124898,0.9381550204478752,0.1167407349051332
AKAP12,2.7081889741440333,2.8699619858211127,-0.18625187246986052
TGFB1I1,2.0972092671282865,4.907282907365345,-0.03201019193082333
SERPINE1,4.354478085546831,6.298967751498255,-0.2518707418711146
