,arc1,arc2
TMSB10,12.266250129994297,11.276836649651228
ASTE1,2.632839531259595,2.6218854332557866
RNF19A,3.220286477573187,5.246466503221891
PEX3,4.161957239803208,3.861945261654306
GABARAPL2,6.3852884574157205,7.600036702555711
SH3YL1,2.954539335524694,4.561029835836664
FAM136A,6.073174719749069,5.588147692940863
VCL,6.042718050987369,6.683591374683282
DEPDC1B,4.5511280317430876,3.862159447637076
DAPK2,0.2841620232006279,2.5994907369239453
NSMAF,5.308772867002475,5.494359627440399
TIMP2,6.399069361530598,9.207612523407743
RFC1,4.783582538093843,5.329915800923122
TBC1D23,4.872651358799313,5.042789274162431
CUL3,5.698268592761554,5.625091186619443
MYOM2,0.40483063963485244,1.8681591122862966
CYP46A1,-0.15944517780825151,1.1941170280406832
ZZZ3,4.5449510739588685,4.733420457497047
USP2,0.4260046905311853,1.3294095643399486
TUBG2,3.074222826446392,4.738015425433636
RPL26L1,6.429371607405697,7.0189707127969125
FLT4,0.18553288326159598,0.1466727830407422
NSUN2,6.373336733627414,5.721945851746785
FBXO42,3.3851200846758736,3.7682777364421622
MFAP3,3.987425334288288,5.198424048284662
MRI1,3.337304296491386,4.175745992144506
METTL1,5.595774166036815,4.165429179482264
HOXC8,1.3962608684376117,1.513369278124313
AGA,4.306830952254489,5.509587703039652
PI4K2B,4.325800101512001,4.3083246613982595
MAT2B,5.881743627693941,6.3391635385730805
TLL1,0.6127490219338396,0.7187963349588941
EDC4,5.015933748441932,5.446154137439968
TRIO,6.967262002483227,6.2087119093957925
VCAN,3.584662874736732,7.992044850059372
CLEC16A,2.9906473691503783,3.681605683574081
MSR1,0.5465221816772062,0.5299086697072168
CDH1,0.03063365810889751,1.3888556996404495
DNAH5,1.8187012116684018,1.2258902520184602
ZFYVE16,3.7131496852017465,4.389654736310076
RAI14,5.660570485303356,6.402279069226734
PNKP,4.8854743908080325,5.257543560591082
PHLPP2,2.249225799805577,3.2855047367355064
STAU2,4.194884449529475,5.1678040875902145
CTNS,3.5507870752988735,4.132791911660006
RTN4R,2.0083707628249265,1.5803886108684406
PHF23,5.251833427146443,5.754411408147628
CDH10,1.1793088247962373,0.6242810684655401
INPP4A,2.3676153544109395,3.7078774968707924
RAB27B,2.6623492264456607,2.733023307862528
PSMA4,8.76927753631531,8.685530295174884
MYO16,0.14792735424075815,0.17388228779159187
LSG1,4.805373676388946,5.247547404858871
PARP3,4.047859093251748,4.62948766825923
TNC,5.9050563419908775,7.305388858942685
THAP3,4.006620496263601,3.8259734869607747
TDP1,5.033087815951354,3.7732609403626487
AIFM2,2.8526482685085446,3.572379418771847
SPATA7,2.701861406400942,2.4274564036517168
MED17,4.519633178402091,4.56141062718651
RETSAT,5.152705446364679,5.1901100677232055
CAPG,5.41881807661204,6.078714434948552
AP2S1,7.770944856910703,8.018901709133706
TG,0.5284647318087182,0.40983915001645055
ADAM28,0.11512479660541086,1.2516062124587028
DCUN1D1,4.449597317512297,4.672963924081772
ZIC2,1.7499224401632463,2.6328857470688924
LCP2,0.7697748293520712,0.07452805155379916
TRIT1,4.539200617671626,4.584617713778009
ADRB1,0.2727124217428436,0.19481088094164703
CUL7,3.5849510813335463,4.845047861009527
CTNNA1,7.28227986794506,8.738711347982091
PHKA2,3.1802554103414256,3.648205918367843
CNTLN,2.5580401470830143,3.185449274639751
EPHA3,0.21628127270228248,2.9473424599202924
HSPA5,8.891542522506692,9.584122865857006
DSG2,3.8884985149644353,2.124799220399213
GEMIN8,3.0050865057336997,4.045598581223696
OFD1,3.110272582703638,3.6008638499570584
GPM6B,-1.1483446548329002,4.817063398955554
MAGEC2,2.3522098520508754,1.443105201973553
PREX2,-0.24250583677160154,0.9167266799548465
WDR37,2.3548956265323624,2.8622486862257914
YTHDC2,3.618815895751262,4.574268068725389
CTPS2,2.83007765352025,3.36580014773625
ATP6V1H,4.888172126925002,5.674879287401087
POLR2B,5.901438737375883,6.197139094126098
ARAP2,0.5033946487654188,1.4832176262816463
TPR,5.0354345866834365,5.685740707968695
CP,-0.7717540858209249,3.77376871228911
DTNBP1,3.356394321617731,3.7125282342370722
